"CELL_NODE_ID","VENDOR","NODEID","CELLID","NODENAME","CELLNAME","DATEADDED","OBJECTNAME"
"","NOKIA SIEMENS","180240","11","HUHU1Y","HUHU1YM4BA",06-DEC-21 00:00:00,"PLMN-PLMN/MRBTS-180240/LNBTS-180240/LNCEL-11"
"","NOKIA SIEMENS","490410","12","GLPK1E","GLPK1EM4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-490410/LNBTS-490410/LNCEL-12"
"","NOKIA SIEMENS","100214","13","HCY150","HCY150M4BC",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-100214/LNBTS-100214/LNCEL-13"
"","NOKIA SIEMENS","500415","12","KHNH1A","KHNH1AM4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-500415/LNBTS-500415/LNCEL-12"
"","NOKIA SIEMENS","605575","12","TYGD24","TYGD24M4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-605575/LNBTS-605575/LNCEL-12"
"","NOKIA SIEMENS","586214","13","LAKT12","LAKT12M4BC",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-586214/LNBTS-586214/LNCEL-13"
"","NOKIA SIEMENS","102924","13","H2_CMY_CHUC_SON_2","H2_CMY_CHUC_SON_2_M4BC",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-102924/LNBTS-102924/LNCEL-13"
"","NOKIA SIEMENS","150534","12","QATK26","QATK26M4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-150534/LNBTS-150534/LNCEL-12"
"","NOKIA SIEMENS","114623","11","HTB122","HTB122C4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-114623/LNBTS-114623/LNCEL-11"
"","NOKIA SIEMENS","470240","13","DGDM42","DGDM42M4BC",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-470240/LNBTS-470240/LNCEL-13"
"","NOKIA SIEMENS","120466","11","DNHW13","DNHW13M4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-120466/LNBTS-120466/LNCEL-11"
"","NOKIA SIEMENS","480072","15","DLBH09","DLBH09M4CB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-480072/LNBTS-480072/LNCEL-15"
"","NOKIA SIEMENS","546682","11","BPHQ23","BPHQ23M4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-546682/LNBTS-546682/LNCEL-11"
"","NOKIA SIEMENS","531886","11","BDDA63","BDDA63M4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-531886/LNBTS-531886/LNCEL-11"
"","NOKIA SIEMENS","130076","11","BDTS19","BDTS19M4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-130076/LNBTS-130076/LNCEL-11"
"","NOKIA SIEMENS","531763","12","BDBB03","BDBB03M4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-531763/LNBTS-531763/LNCEL-12"
"","NOKIA SIEMENS","490296","11","GLCS32","GLCS32M4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-490296/LNBTS-490296/LNCEL-11"
"","NOKIA SIEMENS","101686","18","HTX006","HTX006I4BK",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-101686/LNBTS-101686/LNCEL-18"
"","NOKIA SIEMENS","500358","13","KHVN11","KHVN11M4BC",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-500358/LNBTS-500358/LNCEL-13"
"","NOKIA SIEMENS","563287","12","DNTB36","DNTB36M4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-563287/LNBTS-563287/LNCEL-12"
"","NOKIA SIEMENS","140159","13","PYPY37","PYPY37M4BC",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-140159/LNBTS-140159/LNCEL-13"
"","NOKIA SIEMENS","101505","12","HN_LBN_VINCOM_HOA_PHUONG","HN_LBN_VINCOM_HOA_PHUONG_M4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-101505/LNBTS-101505/LNCEL-12"
"","NOKIA SIEMENS","684754","18","KGPQ26","KGPQ26M4CB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-684754/LNBTS-684754/LNCEL-18"
"","NOKIA SIEMENS","560898","17","DNBHB4","DNBHB4M4CA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-560898/LNBTS-560898/LNCEL-17"
"","NOKIA SIEMENS","470171","12","DGTD06","DGTD06M4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-470171/LNBTS-470171/LNCEL-12"
"","NOKIA SIEMENS","100327","13","HDD154","HDD154M4BC",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-100327/LNBTS-100327/LNCEL-13"
"","NOKIA SIEMENS","102180","12","HDD240","HDD240C4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-102180/LNBTS-102180/LNCEL-12"
"","NOKIA SIEMENS","480305","11","DLLK16","DLLK16M4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-480305/LNBTS-480305/LNCEL-11"
"","NOKIA SIEMENS","562823","18","DNBH6C","DNBH6CM4CB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-562823/LNBTS-562823/LNCEL-18"
"","NOKIA SIEMENS","170111","12","QTHL14","QTHL14M4BB",17-DEC-21 00:00:00,"PLMN-PLMN/MRBTS-170111/LNBTS-170111/LNCEL-12"
"","NOKIA SIEMENS","120806","11","DNNH1B","DNNH1BM4BA",26-SEP-23 00:00:00,"PLMN-PLMN/MRBTS-120806/LNBTS-120806/LNCEL-11"
"","NOKIA SIEMENS","102536","11","HTO012","HTO012M4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-102536/LNBTS-102536/LNCEL-11"
"","NOKIA SIEMENS","586530","11","LAHO90","LAHO90C4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-586530/LNBTS-586530/LNCEL-11"
"","NOKIA SIEMENS","160104","12","QNBS48","QNBS48M4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-160104/LNBTS-160104/LNCEL-12"
"","NOKIA SIEMENS","605481","12","TYCT30","TYCT30M4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-605481/LNBTS-605481/LNCEL-12"
"","NOKIA SIEMENS","562780","11","DNBH79","DNBH79C4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-562780/LNBTS-562780/LNCEL-11"
"","NOKIA SIEMENS","101661","13","H2_TOI_CAO_VIEN","H2_TOI_CAO_VIEN_M4BC",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-101661/LNBTS-101661/LNCEL-13"
"","NOKIA SIEMENS","140115","12","PYPY44","PYPY44M4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-140115/LNBTS-140115/LNCEL-12"
"","NOKIA SIEMENS","140201","13","PYPH31","PYPH31M4BC",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-140201/LNBTS-140201/LNCEL-13"
"","NOKIA SIEMENS","170209","11","QTHH05","QTHH05M4BA",14-DEC-21 00:00:00,"PLMN-PLMN/MRBTS-170209/LNBTS-170209/LNCEL-11"
"","NOKIA SIEMENS","563056","12","DNLT05","DNLT05M4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-563056/LNBTS-563056/LNCEL-12"
