"OBJECTNAME","RNCNAME","RNCDESCRIPTION","WBTSNAME","BTSADDITIONALINFO","CELLNAME","CID","LAC","RAC","SAC","PRISCRCODE","UARFCN","URAID","RNCID","WBTSID","WCELID","OMCNAME","DATEADDED","BTSNAMEALT"
"PLMN-PLMN/RNC-401/WBTS-134/WCEL-8","RCTNK10N","","DTCH28","","DTCH28H","","","","","","","","401","134","8","",16-JUN-23 00:00:00,""
"PLMN-PLMN/RNC-401/WBTS-129/WCEL-6","RCTNK10N","","DTCH29","","DTCH29F","","","","","","","","401","129","6","",16-JUN-23 00:00:00,""
"PLMN-PLMN/RNC-401/WBTS-208/WCEL-6","RCTNK10N","","DTCH32","","DTCH32F","","","","","","","","401","208","6","",16-JUN-23 00:00:00,""
"PLMN-PLMN/RNC-326/WBTS-509/WCEL-2","RDNST6N","","DNNH51","","DNNH51B","","","","","","","","326","509","2","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-326/WBTS-510/WCEL-7","RDNST6N","","DNNH52","","DNNH52G","","","","","","","","326","510","7","",15-DEC-20 00:00:00,""
"PLMN-PLMN/RNC-375/WBTS-420/WCEL-3","RDNST14N","","KTST02","","KTST02C","","","","","","","","375","420","3","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-376/WBTS-677/WCEL-13","RDNST15N","","QTDK03","","QTDK03Z","","","","","","","","376","677","13","",01-DEC-22 09:03:14,""
"PLMN-PLMN/RNC-376/WBTS-678/WCEL-11","RDNST15N","","QTDK05","","QTDK05X","","","","","","","","376","678","11","",01-DEC-22 09:03:14,""
"PLMN-PLMN/RNC-376/WBTS-678/WCEL-12","RDNST15N","","QTDK05","","QTDK05Y","","","","","","","","376","678","12","",01-DEC-22 09:03:14,""
"PLMN-PLMN/RNC-376/WBTS-678/WCEL-13","RDNST15N","","QTDK05","","QTDK05Z","","","","","","","","376","678","13","",01-DEC-22 09:03:14,""
"PLMN-PLMN/RNC-376/WBTS-679/WCEL-11","RDNST15N","","QTDK06","","QTDK06X","","","","","","","","376","679","11","",01-DEC-22 09:03:14,""
"PLMN-PLMN/RNC-376/WBTS-679/WCEL-12","RDNST15N","","QTDK06","","QTDK06Y","","","","","","","","376","679","12","",01-DEC-22 09:03:14,""
"PLMN-PLMN/RNC-376/WBTS-679/WCEL-13","RDNST15N","","QTDK06","","QTDK06Z","","","","","","","","376","679","13","",01-DEC-22 09:03:14,""
"PLMN-PLMN/RNC-376/WBTS-68/WCEL-1","RDNST15N","","QTDH08","","QTDH08A","","","","","","","","376","68","1","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-376/WBTS-68/WCEL-2","RDNST15N","","QTDH08","","QTDH08B","","","","","","","","376","68","2","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-376/WBTS-68/WCEL-3","RDNST15N","","QTDH08","","QTDH08C","","","","","","","","376","68","3","",08-JAN-24 00:00:00,""
"PLMN-PLMN/RNC-376/WBTS-68/WCEL-4","RDNST15N","","QTDH08","","QTDH08D","","","","","","","","376","68","4","",02-NOV-22 00:00:00,""
