"BSCID","VENDOR","REGION","LAUNCH_DATE","MSCID","TEAM","DEPT","SUB_TEAM","NE_GROUP","LOCATION_NAME","SMS_CSSR","SMS_DRC","NSEI","ACTIVE_DATE","PROVINCE","NE_TYPE"
"RDNST9N","NOKIA SIEMENS","MT",,"","TVT Huế","ĐVT Đà Nẵng","TVT Huế","","Huế",,,"",,"Huế","RNC"
"RDNST7N","NOKIA SIEMENS","MT",,"","TVT Khánh Hòa","ĐVT Bình Định","TVT Khánh Hòa","","Nha Trang",,,"",,"Khánh Hòa","RNC"
"RKGRG1Z","ZTE","MN",,"","TVT Kiên Giang","ĐVT Cần Thơ","TVT Kiên Giang","","Rạch Giá",,,"",,"Kiên Giang","RNC"
"RKGRG2Z","ZTE","MN",,"","TVT Kiên Giang","ĐVT Cần Thơ","TVT Kiên Giang","","Rạch Giá",,,"",,"Kiên Giang","RNC"
"RKGRG3Z","ZTE","MN",,"","TVT Kiên Giang","ĐVT Cần Thơ","TVT Kiên Giang","","Rạch Giá",,,"",,"Kiên Giang","RNC"
"RKGRG4Z","ZTE","MN",,"","TVT Kiên Giang","ĐVT Cần Thơ","TVT Kiên Giang","","Rạch Giá",,,"",,"Kiên Giang","RNC"
"RLDDA1E","ERICSSON","MN",,"","TVT Đà Lạt","ĐVT Đồng Nai","TVT Đà Lạt","","Tp. Đà Lạt",,,"",,"Lâm Đồng","RNC"
"RLATA2N","NOKIA SIEMENS","MN",,"","TVT Long An","ĐVT Bình Dương","TVT Long An","","TX Tân An",,,"",,"Long An","RNC"
"RLATA3N","NOKIA SIEMENS","MN",,"","TVT Long An","ĐVT Bình Dương","TVT Long An","","TX Tân An",,,"",,"Long An","RNC"
"RLATA1N","NOKIA SIEMENS","MN",,"","TVT Long An","ĐVT Bình Dương","TVT Long An","","TX Tân An",,,"",,"Long An","RNC"
"RNDND1H","HUAWEI","MB",,"","TVT Nam Định","ĐVT Nam Định","TVT Nam Định","","Nam Định",,,"",,"Nam Định","RNC"
"RNBNB1H","HUAWEI","MB",,"","TVT Ninh Bình","ĐVT Nam Định","TVT Ninh Bình","","Ninh Bình",,,"",,"Ninh Bình","RNC"
"RNTPR1E","ERICSSON","MN",,"","TVT Ninh Thuận","ĐVT Đồng Nai","TVT Ninh Thuận","","Tp. Phan Rang",,,"",,"Ninh Thuận","RNC"
"RHTHT1H","HUAWEI","MB",,"","TVT Hà Tĩnh","ĐVT Nghệ An","TVT Hà Tĩnh","","Hà Tĩnh",,,"",,"Hà Tĩnh","RNC"
"RDNTK3N","NOKIA SIEMENS","MT",,"","TVT Phú Yên","ĐVT Bình Định","TVT Phú Yên","","Tuy Hòa",,,"",,"Phú Yên","RNC"
"RNAVI1H","HUAWEI","MB",,"","TVT Hà Tĩnh","ĐVT Nghệ An","TVT Hà Tĩnh","","Hà Tĩnh",,,"",,"Hà Tĩnh","RNC"
"RDNST1N","NOKIA SIEMENS","MT",,"","TVT Quảng Nam","ĐVT Đà Nẵng","TVT Quảng Nam","","Tam Kỳ",,,"",,"Quảng Nam","RNC"
"RDNST2N","NOKIA SIEMENS","MT",,"","TVT Quảng Nam","ĐVT Đà Nẵng","TVT Quảng Nam","","Tam Kỳ",,,"",,"Quảng Nam","RNC"
"RDNST11N","NOKIA SIEMENS","MT",,"","TVT Quảng Ngãi","ĐVT Bình Định","TVT Quảng Ngãi","","Quảng Ngãi",,,"",,"Quảng Ngãi","RNC"
"RDNTK1N","NOKIA SIEMENS","MT",,"","TVT Quảng Ngãi","ĐVT Bình Định","TVT Quảng Ngãi","","Quảng Ngãi",,,"",,"Quảng Ngãi","RNC"
"RQBDH1H","HUAWEI","MB",,"","TVT Quảng Bình","ĐVT Nghệ An","TVT Quảng Bình","","Đồng Hới",,,"",,"Quảng Bình","RNC"
"RHNHM3H","HUAWEI","MB",,"","TVT Thanh Hóa","ĐVT Nghệ An","TVT Thanh Hóa","","Thanh Hóa",,,"",,"Thanh Hóa","RNC"
"RHNCG4H","HUAWEI","MB",,"","TVT Bắc Cạn","ĐVT Thái Nguyên","TVT Bắc Cạn","","Bắc Cạn",,,"",,"Bắc Cạn","RNC"
"RDNTK6N","NOKIA SIEMENS","MT",,"","TVT Quảng Trị","ĐVT Đà Nẵng","TVT Quảng Trị","","Quảng Trị",,,"",,"Quảng Trị","RNC"
"RQTDH1N","NOKIA SIEMENS","MT",,"","TVT Quảng Trị","ĐVT Đà Nẵng","TVT Quảng Trị","","Quảng Trị",,,"",,"Quảng Trị","RNC"
"RSTST1Z","ZTE","MN",,"","TVT Sóc Trăng","ĐVT Cần Thơ","TVT Sóc Trăng","","Sóc Trăng",,,"",,"Sóc Trăng","RNC"
"RSTST2Z","ZTE","MN",,"","TVT Sóc Trăng","ĐVT Cần Thơ","TVT Sóc Trăng","","Sóc Trăng",,,"",,"Sóc Trăng","RNC"
"RSTST3Z","ZTE","MN",,"","TVT Sóc Trăng","ĐVT Cần Thơ","TVT Sóc Trăng","","Sóc Trăng",,,"",,"Sóc Trăng","RNC"
"RTNTN1N","NOKIA SIEMENS","MN",,"","TVT Tây Ninh","ĐVT Bình Dương","TVT Tây Ninh","","TX Tây Ninh",,,"",,"Tây Ninh","RNC"
"RHNHM5H","HUAWEI","MB",,"","TVT Bắc Giang","ĐVT Thái Nguyên","TVT Bắc Giang","","Bắc Giang",,,"",,"Bắc Giang","RNC"
"RHNCG2E","ERICSSON","MB",,"","TVT Cao Bằng","ĐVT Thái Nguyên","TVT Cao Bằng","","Cao Bằng",,,"",,"Cao Bằng","RNC"
"RHNCG1H","HUAWEI","MB",,"","TVT Phú Thọ","ĐVT Vĩnh Phúc","TVT Phú Thọ","","Việt Trì",,,"",,"Phú Thọ","RNC"
