"BSCID","VENDOR","REGION","TRAU","TRX","MSCID","LAUNCH_DATE","TEAM","DEPT","SUB_TEAM","NE_GROUP","LOCATION_NAME","SMS_CSSR","SMS_DRC","NSEI","ACTIVE_DATE","PROVINCE","LONGITUDE","LATITUDE","NE_TYPE"
"BKHNT02N","NOKIA SIEMENS","MT",,,"",,"TVT Khánh Hòa","ĐVT Bình Định","TVT Vũng Tàu","","Nha Trang",,,"",,"Khánh Hòa","","","BSC"
"BKHNT01N","NOKIA SIEMENS","MT",,,"",,"TVT Khánh Hòa","ĐVT Bình Định","TVT Khánh Hòa","","Nha Trang",,,"",,"Khánh Hòa","","","BSC"
"BNTR01N","NOKIA SIEMENS","MT",,,"",,"TVT Khánh Hòa","ĐVT Bình Định","TVT Khánh Hòa","","Nha Trang",,,"",,"Khánh Hòa","","","BSC"
"BNTR02N","NOKIA SIEMENS","MT",,,"",,"TVT Khánh Hòa","ĐVT Bình Định","TVT Khánh Hòa","","Nha Trang",,,"",,"Khánh Hòa","","","BSC"
"BKGG06Z","ZTE","MN",,,"",,"TVT Kiên Giang","ĐVT Cần Thơ","TVT Kiên Giang","","Rạch Giá",,,"",,"Kiên Giang","","","BSC"
"BKGG05Z","ZTE","MN",,,"",,"TVT Kiên Giang","ĐVT Cần Thơ","TVT Kiên Giang","","Rạch Giá",,,"",,"Kiên Giang","","","BSC"
"BKGG03Z","ZTE","MN",,,"",,"TVT Kiên Giang","ĐVT Cần Thơ","TVT Kiên Giang","","Rạch Giá",,,"",,"Kiên Giang","","","BSC"
"BKGG02E","ERICSSON","MN",,,"",,"TVT Phú Quốc","ĐVT Cần Thơ","TVT Phú Quốc","","Phú Quốc",,,"",,"Kiên Giang","","","BSC"
"BKGG04E","ERICSSON","MN",,,"",,"TVT Kiên Giang","ĐVT Cần Thơ","TVT Kiên Giang","","Rạch Giá",,,"",,"Kiên Giang","","","BSC"
"BKGG01Z","ZTE","MN",,,"",,"TVT Kiên Giang","ĐVT Cần Thơ","TVT Kiên Giang","","Rạch Giá",,,"",,"Kiên Giang","","","BSC"
"BKTM05A","ALCATEL","MT",,,"",,"TVT Kon Tum","ĐVT Daklak","TVT Kon Tum","","Kon Tum",,,"",,"Kon Tum","","","BSC"
"BKTM04A","ALCATEL","MT",,,"",,"TVT Kon Tum","ĐVT Daklak","TVT Kon Tum","","Kon Tum",,,"",,"Kon Tum","","","BSC"
"BKTM02A","ALCATEL","MT",,,"",,"TVT Kon Tum","ĐVT Daklak","TVT Kon Tum","","Kon Tum",,,"",,"Kon Tum","","","BSC"
"BHNHM2E","ERICSSON","MB",,,"",,"TVT1","ĐVT Hà Nội 2","TVT1","","Hoàng Mai",,,"",,"Hà Nội","","","BSC"
"BLDDL1A","ALCATEL","MN",,,"",,"TVT Bảo Lộc","ĐVT Đồng Nai","TVT Bảo Lộc","","Buôn Ma Thuột",,,"",,"Lâm Đồng","","","BSC"
"BLDBL1A","ALCATEL","MN",,,"",,"TVT Bảo Lộc","ĐVT Đồng Nai","TVT Bảo Lộc","","Buôn Ma Thuột",,,"",,"Lâm Đồng","","","BSC"
"BLDBA1A","ALCATEL","MN",,,"",,"TVT Bảo Lộc","ĐVT Đồng Nai","TVT Bảo Lộc","","Buôn Ma Thuột",,,"",,"Lâm Đồng","","","BSC"
"BLDDT1A","ALCATEL","MN",,,"",,"TVT Đà Lạt","ĐVT Đồng Nai","TVT Đà Lạt","","Buôn Ma Thuột",,,"",,"Lâm Đồng","","","BSC"
"BLDDD1A","ALCATEL","MN",,,"",,"TVT Đà Lạt","ĐVT Đồng Nai","TVT Đà Lạt","","Buôn Ma Thuột",,,"",,"Lâm Đồng","","","BSC"
"BLDDA1A","ALCATEL","MN",,,"",,"TVT Đà Lạt","ĐVT Đồng Nai","TVT Đà Lạt","","Buôn Ma Thuột",,,"",,"Lâm Đồng","","","BSC"
"iHNCG3H","HUAWEI","MB",,,"",,"TVT2","ĐVT Hà Nội 2","TVT2","","Cầu Giấy",,,"",,"Hà Nội","","","BSC"
"iHNHM2H","HUAWEI","MB",,,"",,"TVT2","ĐVT Hà Nội 2","TVT2","","Hoàng Mai",,,"",,"Hà Nội","","","BSC"
"BLATA4H","HUAWEI","MN",,,"",,"TVT Long An","ĐVT Bình Dương","TVT Long An","","TX Tân An",,,"",,"Long An","","","BSC"
"BLATA2H","HUAWEI","MN",,,"",,"TVT Long An","ĐVT Bình Dương","TVT Long An","","TX Tân An",,,"",,"Long An","","","BSC"
"BLATA1H","HUAWEI","MN",,,"",,"TVT Long An","ĐVT Bình Dương","TVT Long An","","TX Tân An",,,"",,"Long An","","","BSC"
"BLABL1H","HUAWEI","MN",,,"",,"TVT Long An","ĐVT Bình Dương","TVT Long An","","Bến Lức",,,"",,"Long An","","","BSC"
"BLATA3H","HUAWEI","MN",,,"",,"TVT Long An","ĐVT Bình Dương","TVT Long An","","TX Tân An",,,"",,"Long An","","","BSC"
"HA_TAY_1","ALCATEL","MB",,,"",,"TVT2","ĐVT Hà Nội 2","TVT2","","Hà Đông",,,"",,"Hà Nội","","","BSC"
"iHNCG2H","HUAWEI","MB",,,"",,"TVT3","ĐVT Hà Nội 2","TVT3","","Cầu Giấy",,,"",,"Hà Nội","","","BSC"
"SON_TAY_1","ALCATEL","MB",,,"",,"TVT3","ĐVT Hà Nội 2","TVT3","","Sơn Tây",,,"",,"Hà Nội","","","BSC"
"SON_TAY_2","ALCATEL","MB",,,"",,"TVT3","ĐVT Hà Nội 2","TVT3","","Sơn Tây",,,"",,"Hà Nội","","","BSC"
"HUNG_YEN_1","ALCATEL","MB",,,"",,"TVT Hưng Yên","ĐVT Hải Phòng","TVT Hưng Yên","","Hưng Yên",,,"",,"Hưng Yên","","","BSC"
"BNTPR1A","ALCATEL","MN",,,"",,"TVT Ninh Thuận","ĐVT Đồng Nai","TVT Ninh Thuận","","Tp. Phan Rang",,,"",,"Ninh Thuận","","","BSC"
"BNTNS2A","ALCATEL","MN",,,"",,"TVT Ninh Thuận","ĐVT Đồng Nai","TVT Ninh Thuận","","Ninh Sơn",,,"",,"Ninh Thuận","","","BSC"
"BNTNP1A","ALCATEL","MN",,,"",,"TVT Ninh Thuận","ĐVT Đồng Nai","TVT Ninh Thuận","","Ninh Phước",,,"",,"Ninh Thuận","","","BSC"
